country;model_name;horizon;feature;importance
BE;ILI;1;lag_value_2;0,182950706504563
BE;ILI;1;lag_humidity_2;0,006248103108646004
BE;ILI;1;lag_temp_max_2;0,05384489698237871
BE;ILI;1;lag_value_3;0,11023530476630153
BE;ILI;1;lag_temp_max_3;0,04349398158705374
BE;ILI;1;lag_temp_min_3;0,023298252670755002
BE;ILI;1;lag_value_4;0,0682772988937846
BE;ILI;1;lag_humidity_4;0,007167096316716267
BE;ILI;1;week_sin;0,0108918553937919
BE;ILI;1;week_cos;0,02081216606104292
BE;ILI;2;relative_humidity_2m;0,011238767057837993
BE;ILI;2;temperature_2m_max;0,03819798714856496
BE;ILI;2;temperature_2m_min;0,06738887734679179
BE;ILI;2;year;0,018578580899776435
BE;ILI;2;lag_value_1;0,2548794228334183
BE;ILI;2;lag_humidity_1;0,010799651660217128
BE;ILI;2;lag_temp_max_1;0,06392495654296497
BE;ILI;2;lag_temp_min_1;0,05130653827695881
BE;ILI;2;lag_value_2;0,1474513796432129
BE;ILI;2;lag_humidity_2;0,009864664658006169
BE;ILI;2;lag_temp_max_2;0,04986084136787318
BE;ILI;2;lag_value_3;0,08550193066655547
BE;ILI;2;lag_temp_max_3;0,05973374362990078
BE;ILI;2;lag_temp_min_3;0,018565164017452458
BE;ILI;2;lag_value_4;0,04960609768089555
BE;ILI;2;lag_humidity_4;0,009792508610343352
BE;ILI;2;week_sin;0,018181745426585596
BE;ILI;2;week_cos;0,0351271425326442
BE;ILI;3;relative_humidity_2m;0,01540562495226556
BE;ILI;3;temperature_2m_max;0,07335415038738936
BE;ILI;3;temperature_2m_min;0,0755312797152391
BE;ILI;3;year;0,02453899794560927
BE;ILI;3;lag_value_1;0,20780962134509268
BE;ILI;3;lag_humidity_1;0,0181019410338735
BE;ILI;3;lag_temp_max_1;0,06724136426153862
BE;ILI;3;lag_temp_min_1;0,045058581213265655
BE;ILI;3;lag_value_2;0,09416726549362109
BE;ILI;3;lag_humidity_2;0,014528163871566462
BE;ILI;3;lag_temp_max_2;0,08483307460149052
BE;ILI;3;lag_value_3;0,05504504505945227
BE;ILI;3;lag_temp_max_3;0,06202487661880023
BE;ILI;3;lag_temp_min_3;0,01316962831283128
BE;ILI;3;lag_value_4;0,04061713602327452
BE;ILI;3;lag_humidity_4;0,025910546821701477
BE;ILI;3;week_sin;0,02421088331848311
BE;ILI;3;week_cos;0,05845181902450533
BE;ILI;4;relative_humidity_2m;0,023722657970165338
BE;ILI;4;temperature_2m_max;0,08695553837455999
BE;ILI;4;temperature_2m_min;0,06348253605470366
BE;ILI;4;year;0,03539516712050651
BE;ILI;4;lag_value_1;0,12595576814018336
BE;ILI;4;lag_humidity_1;0,018824119416975902
BE;ILI;4;lag_temp_max_1;0,10380466418959773
BE;ILI;4;lag_temp_min_1;0,026034991691621177
BE;ILI;4;lag_value_2;0,05249509875139299
BE;ILI;4;lag_humidity_2;0,02104640497672908
BE;ILI;4;lag_temp_max_2;0,09197970618294138
BE;ILI;4;lag_value_3;0,0543856323178498
BE;ILI;4;lag_temp_max_3;0,041257418492311314
BE;ILI;4;lag_temp_min_3;0,017672488223087084
BE;ILI;4;lag_value_4;0,05167574262624511
BE;ILI;4;lag_humidity_4;0,04860016598723666
BE;ILI;4;week_sin;0,043717094153169545
BE;ILI;4;week_cos;0,0929948053307233
BG;ARI;1;relative_humidity_2m;0,017311299798346308
BG;ARI;1;temperature_2m_max;0,09942769350731887
BG;ARI;1;temperature_2m_min;0,09302805054358718
BG;ARI;1;year;0,009947742613692813
BG;ARI;1;lag_value_1;0,2641193740308032
BG;ARI;1;lag_temp_max_1;0,0879789832961662
BG;ARI;1;lag_value_2;0,09463260292886998
BG;ARI;1;lag_value_3;0,040342837802313486
BG;ARI;1;lag_value_4;0,03950577267234858
BG;ARI;1;month_cos;0,0814548328485187
BG;ARI;1;week_sin;0,02753201207390489
BG;ARI;1;week_cos;0,14471879788412972
BG;ARI;2;relative_humidity_2m;0,02072043707211466
BG;ARI;2;temperature_2m_max;0,10565172826504672
BG;ARI;2;temperature_2m_min;0,09689365474182293
BG;ARI;2;year;0,015486633902579826
BG;ARI;2;lag_value_1;0,126109414708263
BG;ARI;2;lag_temp_max_1;0,08464645233908472
BG;ARI;2;lag_value_2;0,06884417931062241
BG;ARI;2;lag_value_3;0,04869501511948542
BG;ARI;2;lag_value_4;0,03986264009235261
BG;ARI;2;month_cos;0,15131924780029973
BG;ARI;2;week_sin;0,03664990170139399
BG;ARI;2;week_cos;0,20512069494693413
BG;ARI;3;relative_humidity_2m;0,02371843122828156
BG;ARI;3;temperature_2m_max;0,10692903297436826
BG;ARI;3;temperature_2m_min;0,10387442003432902
BG;ARI;3;year;0,020659007791431577
BG;ARI;3;lag_value_1;0,0806575694678312
BG;ARI;3;lag_temp_max_1;0,08071486836256957
BG;ARI;3;lag_value_2;0,0665451528503736
BG;ARI;3;lag_value_3;0,0428812545020502
BG;ARI;3;lag_value_4;0,044749201965652435
BG;ARI;3;month_cos;0,1575746731968527
BG;ARI;3;week_sin;0,04148175714980634
BG;ARI;3;week_cos;0,2302146304764534
BG;ARI;4;relative_humidity_2m;0,030308650912026336
BG;ARI;4;temperature_2m_max;0,0977683842700053
BG;ARI;4;temperature_2m_min;0,08293707181745742
BG;ARI;4;year;0,020532990236205976
BG;ARI;4;lag_value_1;0,08701626471924301
BG;ARI;4;lag_temp_max_1;0,060010167242683314
BG;ARI;4;lag_value_2;0,055910234698888846
BG;ARI;4;lag_value_3;0,044020103108975445
BG;ARI;4;lag_value_4;0,053615283121951476
BG;ARI;4;month_cos;0,16841750130290759
BG;ARI;4;week_sin;0,05467232877261824
BG;ARI;4;week_cos;0,24479101979703696
CZ;ARI;1;temperature_2m_max;0,044355744039997334
CZ;ARI;1;temperature_2m_min;0,01801155981771782
CZ;ARI;1;lag_value_1;0,30444685173362535
CZ;ARI;1;lag_temp_max_1;0,02977329032355636
CZ;ARI;1;lag_value_2;0,20805869278261385
CZ;ARI;1;lag_temp_max_2;0,024898837349008118
CZ;ARI;1;lag_value_3;0,12864946616940082
CZ;ARI;1;lag_value_4;0,08602471924873738
CZ;ARI;1;month_cos;0,03292086253330365
CZ;ARI;1;week_sin;0,01852886970486874
CZ;ARI;1;week_cos;0,10433110629717057
CZ;ARI;2;temperature_2m_max;0,04943017539784902
CZ;ARI;2;temperature_2m_min;0,05173764195113515
CZ;ARI;2;lag_value_1;0,2717826051104209
CZ;ARI;2;lag_temp_max_1;0,04094150951683753
CZ;ARI;2;lag_value_2;0,18232071288337384
CZ;ARI;2;lag_temp_max_2;0,025853645609778673
CZ;ARI;2;lag_value_3;0,10359341356302236
CZ;ARI;2;lag_value_4;0,04489956880766236
CZ;ARI;2;month_cos;0,06531783440906082
CZ;ARI;2;week_sin;0,031045480212821573
CZ;ARI;2;week_cos;0,1330774125380378
CZ;ARI;3;temperature_2m_max;0,056042888166665826
CZ;ARI;3;temperature_2m_min;0,05346221627158886
CZ;ARI;3;lag_value_1;0,23569439618931554
