country;model_name;horizon;feature;importance
DK;ILI;2;lag_humidity_1;0,019927839
DK;ILI;2;lag_temp_min_1;0,037265226
DK;ILI;2;lag_value_2;0,03462702
DK;ILI;2;lag_temp_max_2;0,03670082
DK;ILI;2;lag_temp_min_2;0,063354395
DK;ILI;2;lag_value_3;0,01979748
DK;ILI;2;lag_temp_min_3;0,117946215
DK;ILI;2;lag_value_4;0,038778502
DK;ILI;2;month_sin;0,080555566
DK;ILI;2;month_cos;0,030334257
DK;ILI;2;week_sin;0,04908439
DK;ILI;2;week_cos;0,025779735
DK;ILI;3;temperature_2m_min;0,024573276
DK;ILI;3;covid;0,04152373
DK;ILI;3;year;0,020418035
DK;ILI;3;lag_value_1;0,28057548
DK;ILI;3;lag_humidity_1;0,021791622
DK;ILI;3;lag_temp_min_1;0,02918228
DK;ILI;3;lag_value_2;0,053785753
DK;ILI;3;lag_temp_max_2;0,04462641
DK;ILI;3;lag_temp_min_2;0,054395523
DK;ILI;3;lag_value_3;0,041822065
DK;ILI;3;lag_temp_min_3;0,097145125
DK;ILI;3;lag_value_4;0,0359682
DK;ILI;3;month_sin;0,12322576
DK;ILI;3;month_cos;0,0356118
DK;ILI;3;week_sin;0,05434004
DK;ILI;3;week_cos;0,041014917
DK;ILI;4;temperature_2m_min;0,02000703
DK;ILI;4;covid;0,051645476
DK;ILI;4;year;0,025743319
DK;ILI;4;lag_value_1;0,21390134
DK;ILI;4;lag_humidity_1;0,018629454
DK;ILI;4;lag_temp_min_1;0,041958056
DK;ILI;4;lag_value_2;0,043909807
DK;ILI;4;lag_temp_max_2;0,05073454
DK;ILI;4;lag_temp_min_2;0,1094454
DK;ILI;4;lag_value_3;0,042792425
DK;ILI;4;lag_temp_min_3;0,065050304
DK;ILI;4;lag_value_4;0,047690216
DK;ILI;4;month_sin;0,14286666
DK;ILI;4;month_cos;0,048747696
DK;ILI;4;week_sin;0,041832995
DK;ILI;4;week_cos;0,035045303
EE;ARI;1;year;0,03905885
EE;ARI;1;lag_value_1;0,6016054
EE;ARI;1;lag_temp_max_3;0,09119925
EE;ARI;1;lag_value_4;0,03862619
EE;ARI;1;month_sin;0,02241038
EE;ARI;1;month_cos;0,047166996
EE;ARI;1;week_sin;0,026156968
EE;ARI;1;week_cos;0,13377601
EE;ARI;2;year;0,043759633
EE;ARI;2;lag_value_1;0,31593916
EE;ARI;2;lag_temp_max_3;0,087430626
EE;ARI;2;lag_value_4;0,042590503
EE;ARI;2;month_sin;0,024386792
EE;ARI;2;month_cos;0,15024656
EE;ARI;2;week_sin;0,029264497
EE;ARI;2;week_cos;0,30638224
EE;ARI;3;year;0,04478968
EE;ARI;3;lag_value_1;0,1424834
EE;ARI;3;lag_temp_max_3;0,052820895
EE;ARI;3;lag_value_4;0,057097256
EE;ARI;3;month_sin;0,022439854
EE;ARI;3;month_cos;0,40008694
EE;ARI;3;week_sin;0,040946346
EE;ARI;3;week_cos;0,23933567
EE;ARI;4;year;0,053028807
EE;ARI;4;lag_value_1;0,08889487
EE;ARI;4;lag_temp_max_3;0,042484198
EE;ARI;4;lag_value_4;0,07564452
EE;ARI;4;month_sin;0,066327855
EE;ARI;4;month_cos;0,50724185
EE;ARI;4;week_sin;0,047096174
EE;ARI;4;week_cos;0,119281724
EE;ILI;1;temperature_2m_max;0,02314347
EE;ILI;1;covid;0,007705259
EE;ILI;1;year;0,021053929
EE;ILI;1;lag_value_1;0,59581935
EE;ILI;1;lag_temp_max_1;0,030293992
EE;ILI;1;lag_value_2;0,12811634
EE;ILI;1;lag_temp_min_2;0,027085384
EE;ILI;1;lag_value_3;0,026060568
EE;ILI;1;month_sin;0,023615954
EE;ILI;1;month_cos;0,03541546
EE;ILI;1;week_sin;0,032507107
EE;ILI;1;week_cos;0,049183182
EE;ILI;2;temperature_2m_max;0,03464549
EE;ILI;2;covid;0,014840787
EE;ILI;2;year;0,039204277
EE;ILI;2;lag_value_1;0,4447385
EE;ILI;2;lag_temp_max_1;0,033628304
EE;ILI;2;lag_value_2;0,090348534
EE;ILI;2;lag_temp_min_2;0,026459668
EE;ILI;2;lag_value_3;0,028650522
EE;ILI;2;month_sin;0,01630978
